jerseyNumber,person.id,person.fullName,person.link,position.code,position.name,position.type,position.abbreviation
55,8470966,Mark Giordano,/api/v1/people/8470966,D,Defenseman,Defenseman,D
8,8474162,Jake Muzzin,/api/v1/people/8474162,D,Defenseman,Defenseman,D
24,8474190,Wayne Simmonds,/api/v1/people/8474190,R,Right Wing,Forward,RW
2,8474568,Luke Schenn,/api/v1/people/8474568,D,Defenseman,Defenseman,D
78,8474673,TJ Brodie,/api/v1/people/8474673,D,Defenseman,Defenseman,D
18,8474818,Jordie Benn,/api/v1/people/8474818,D,Defenseman,Defenseman,D
90,8475158,Ryan O'Reilly,/api/v1/people/8475158,C,Center,Forward,C
43,8475160,Kyle Clifford,/api/v1/people/8475160,L,Left Wing,Forward,LW
91,8475166,John Tavares,/api/v1/people/8475166,C,Center,Forward,C
19,8475714,Calle Jarnkrok,/api/v1/people/8475714,C,Center,Forward,C
3,8475718,Justin Holl,/api/v1/people/8475718,D,Defenseman,Defenseman,D
44,8476853,Morgan Rielly,/api/v1/people/8476853,D,Defenseman,Defenseman,D
22,8476931,Jake McCabe,/api/v1/people/8476931,D,Defenseman,Defenseman,D
56,8476979,Erik Gustafsson,/api/v1/people/8476979,D,Defenseman,Defenseman,D
15,8477021,Alex Kerfoot,/api/v1/people/8477021,C,Center,Forward,C
88,8477939,William Nylander,/api/v1/people/8477939,R,Right Wing,Forward,RW
96,8477979,Nicolas Aube-Kubel,/api/v1/people/8477979,R,Right Wing,Forward,RW
28,8478043,Sam Lafferty,/api/v1/people/8478043,C,Center,Forward,C
58,8478047,Michael Bunting,/api/v1/people/8478047,L,Left Wing,Forward,LW
18,8478115,Pierre Engvall,/api/v1/people/8478115,L,Left Wing,Forward,LW
20,8478211,Dryden Hunt,/api/v1/people/8478211,L,Left Wing,Forward,LW
16,8478483,Mitchell Marner,/api/v1/people/8478483,R,Right Wing,Forward,RW
55,8478569,Noel Acciari,/api/v1/people/8478569,C,Center,Forward,C
81,8478843,Denis Malgin,/api/v1/people/8478843,C,Center,Forward,C
15,8479315,Joey Anderson,/api/v1/people/8479315,R,Right Wing,Forward,RW
34,8479318,Auston Matthews,/api/v1/people/8479318,C,Center,Forward,C
98,8479376,Victor Mete,/api/v1/people/8479376,D,Defenseman,Defenseman,D
12,8479944,Zach Aston-Reese,/api/v1/people/8479944,C,Center,Forward,C
25,8479982,Conor Timmins,/api/v1/people/8479982,D,Defenseman,Defenseman,D
37,8480043,Timothy Liljegren,/api/v1/people/8480043,D,Defenseman,Defenseman,D
64,8480144,David Kampf,/api/v1/people/8480144,C,Center,Forward,C
81,8480439,Mac Hollowell,/api/v1/people/8480439,D,Defenseman,Defenseman,D
82,8480820,Filip Kral,/api/v1/people/8480820,D,Defenseman,Defenseman,D
38,8480873,Rasmus Sandin,/api/v1/people/8480873,D,Defenseman,Defenseman,D
85,8480977,Semyon Der-Arguchintsev,/api/v1/people/8480977,C,Center,Forward,C
29,8480995,Pontus Holmberg,/api/v1/people/8480995,R,Right Wing,Forward,RW
89,8481582,Nicholas Robertson,/api/v1/people/8481582,L,Left Wing,Forward,LW
26,8481720,Nick Abruzzese,/api/v1/people/8481720,C,Center,Forward,C
63,8482241,Radim Zohorna,/api/v1/people/8482241,L,Left Wing,Forward,LW
74,8482259,Bobby McMann,/api/v1/people/8482259,C,Center,Forward,C
46,8482634,Alex Steeves,/api/v1/people/8482634,C,Center,Forward,C
23,8482720,Matthew Knies,/api/v1/people/8482720,L,Left Wing,Forward,LW
30,8476899,Matt Murray,/api/v1/people/8476899,G,Goalie,Goalie,G
35,8478492,Ilya Samsonov,/api/v1/people/8478492,G,Goalie,Goalie,G
50,8478902,Erik Kallgren,/api/v1/people/8478902,G,Goalie,Goalie,G
60,8479361,Joseph Woll,/api/v1/people/8479361,G,Goalie,Goalie,G
,8483183,Jett Alexander,/api/v1/people/8483183,G,Goalie,Goalie,G
